,Country,Deaths,E,F,H,I,OnsetCases,R,S
0,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441790.0
1,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441790.0
2,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441924.5
3,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441351.0
4,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441273.5
5,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441897.5
6,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441799.5
7,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442179.5
8,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442391.0
9,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442196.0
10,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442118.5
11,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442112.0
12,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442378.5
13,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442198.0
14,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442258.5
15,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441960.0
16,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441763.0
17,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441723.0
18,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441486.5
19,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441124.5
20,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441381.0
21,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440938.5
22,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440168.5
23,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440417.5
24,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441169.5
25,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441648.0
26,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441812.5
27,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442176.5
28,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441936.0
29,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441885.0
30,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441826.5
31,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441508.5
32,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441449.5
33,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441003.0
34,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441135.0
35,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440904.5
36,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440608.0
37,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440510.0
38,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440746.5
39,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440892.0
40,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441053.5
41,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441610.0
42,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441758.0
43,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441556.5
44,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441478.0
45,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441567.5
46,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441822.0
47,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441389.5
48,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440673.0
49,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440584.5
50,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441002.0
51,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440652.5
52,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440137.0
53,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439940.0
54,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439927.0
55,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3439979.5
56,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440501.0
57,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440222.0
58,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440157.5
59,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440352.5
60,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440142.5
61,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440117.5
62,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440247.0
63,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440808.5
64,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440689.5
65,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440890.5
66,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440754.5
67,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440801.0
68,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3440869.5
69,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441354.5
70,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441618.5
71,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441809.5
72,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442339.0
73,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442586.5
74,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442484.5
75,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442305.5
76,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442408.5
77,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442203.0
78,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442029.5
79,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441751.5
80,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442088.0
81,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442160.5
82,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442569.5
83,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443022.0
84,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442788.0
85,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442375.5
86,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442481.0
87,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442598.0
88,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442334.5
89,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442277.0
90,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441954.5
91,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441682.0
92,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441494.0
93,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441277.5
94,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441204.0
95,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441455.0
96,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441776.5
97,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442331.5
98,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442662.5
99,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442201.0
100,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441786.5
101,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441954.0
102,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442065.5
103,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442663.0
104,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442948.5
105,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442835.5
106,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442473.0
107,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442895.0
108,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442513.5
109,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443021.0
110,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3443190.5
111,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442744.5
112,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442389.0
113,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442557.0
114,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441941.5
115,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442554.5
116,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442346.5
117,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442193.5
118,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442063.0
119,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442276.0
120,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442291.0
121,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442409.0
122,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441993.0
123,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441552.0
124,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441634.0
125,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441344.5
126,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441321.5
127,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441309.0
128,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441488.5
129,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441858.0
130,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442014.0
131,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441855.0
132,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442350.0
133,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442440.5
134,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441941.0
135,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442088.5
136,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442381.5
137,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442338.0
138,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442590.0
139,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442897.0
140,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442793.0
141,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442315.5
142,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442182.5
143,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441820.5
144,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441482.0
145,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441116.0
146,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441297.5
147,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441330.5
148,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441318.0
149,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441728.0
150,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441548.0
151,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441193.0
152,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441092.0
153,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441533.5
154,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441305.5
155,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441620.5
156,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441512.0
157,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441598.0
158,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441354.0
159,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441512.5
160,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441331.0
161,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441459.0
162,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441703.0
163,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442023.5
164,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442333.0
165,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442157.0
166,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442387.0
167,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442331.0
168,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442326.0
169,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441930.5
170,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3442079.5
171,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441816.5
172,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441678.0
173,Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441437.5
174,Liberia,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3441456.0
175,Liberia,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3441928.0
176,Liberia,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3441809.0
177,Liberia,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3441933.0
178,Liberia,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3441991.5
179,Liberia,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3441855.0
180,Liberia,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3440921.0
181,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440053.0
182,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440053.0
183,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440092.5
184,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439795.5
185,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440047.5
186,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6439705.5
187,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440034.5
188,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440525.0
189,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440696.5
190,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441371.5
191,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442099.5
192,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442026.0
193,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442519.5
194,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442530.0
195,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442261.0
196,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442736.0
197,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442394.0
198,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442339.5
199,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442165.0
200,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441883.5
201,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442034.5
202,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442074.5
203,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441908.0
204,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442159.0
205,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442175.5
206,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441850.0
207,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441996.5
208,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441836.0
209,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442050.0
210,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442180.5
211,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442347.5
212,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442028.5
213,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441852.0
214,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441916.0
215,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441879.0
216,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441290.0
217,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441346.5
218,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441367.0
219,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441140.5
220,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441568.0
221,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441488.5
222,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441693.0
223,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441293.0
224,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441763.0
225,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441253.5
226,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441737.0
227,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441823.5
228,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441458.5
229,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441637.0
230,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441772.5
231,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441751.0
232,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442546.0
233,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441973.0
234,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441533.0
235,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441842.5
236,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442777.0
237,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442995.0
238,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443187.0
239,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443387.0
240,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443006.5
241,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443248.5
242,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443500.5
243,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443922.0
244,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444089.0
245,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443873.5
246,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443766.5
247,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443824.5
248,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444047.0
249,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444360.0
250,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443695.0
251,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443175.5
252,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443556.0
253,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443253.0
254,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443050.5
255,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443674.0
256,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443473.5
257,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443819.0
258,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443576.5
259,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443745.0
260,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443492.0
261,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443115.0
262,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442925.5
263,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443248.5
264,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443181.0
265,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442673.5
266,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442381.0
267,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442272.0
268,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6441563.0
269,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442200.0
270,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442439.0
271,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442475.5
272,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442734.0
273,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443080.0
274,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442978.0
275,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443494.5
276,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443611.0
277,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443399.5
278,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443519.5
279,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443891.5
280,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443894.5
281,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443720.5
282,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444153.5
283,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443877.0
284,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443696.5
285,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443624.5
286,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443781.0
287,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444067.0
288,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444203.0
289,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443543.0
290,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443749.5
291,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443663.0
292,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443955.5
293,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443377.0
294,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443704.0
295,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444023.0
296,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443997.0
297,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444192.5
298,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444199.0
299,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444074.0
300,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444122.0
301,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444022.5
302,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444331.0
303,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444972.5
304,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444529.0
305,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6445261.5
306,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444941.0
307,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6445217.0
308,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444507.5
309,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444832.0
310,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444398.5
311,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444484.5
312,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444165.5
313,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443970.5
314,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444102.0
315,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443175.0
316,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443488.5
317,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443187.0
318,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443357.5
319,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443150.0
320,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443199.5
321,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6442652.5
322,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443261.5
323,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443468.0
324,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443919.0
325,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443977.5
326,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443791.0
327,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443831.5
328,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6443678.0
